Name,Category,HD,+/-,Num,Spd,Alt Spd,Atk,Def,Description,T1,T2,T3,Tags
"Dragon, Red",Predator,10,,1,30,90,STR,STR,"Because red dragons are so confident, they seldom pause to appraise an adversary. On spotting a target, they make a snap decision whether to attack, using one of many strategies worked out ahead of time.
A red dragon lands to attack small, weak creatures with its claws and bite rather than obliterating them with its breath weapon, so as not to destroy any treasure they might be carrying.
Red dragons are cruel monsters, actively seeking to hunt, torment, kill and consume intelligent creatures.",Immunity to fire,3 attacks or Fire breath 90ft cone,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Sea",Predator,8,,1,10,60,STR,STR,"These dragons have much the same physical structure as other dragons, but their feet are webbed and their tails are short, flat and broad; these adaptations help the sea dragon swim efficiently, but severely limit their ability to walk on dry land.
Sea dragons are a deep slate colour.
They are motivated completely by a drive to live, to reproduce, and (of course) to accumulate treasure; they kill to live, not for pleasure.",Swimming and Flying  60ft.,3 attacks or Steam breath 90ft cloud,,"basic-fantasy, dragon"
"Dragon, White",Predator,6,,1,30,90,STR,STR,"White Dragons prefer to live in cold regions, whether in the highest mountains or in the cold northern lands. They are the least intelligent of dragons, though this does not mean that they are stupid by any stretch of the imagination.
They are motivated completely by a drive to live, to reproduce, and (of course) to accumulate treasure; they kill to live, not for pleasure.
White dragons prefer sudden assaults, swooping down from aloft or bursting from beneath water, snow, or ice. Typically, a white dragon begins with its icy breath weapon, then tries to eliminate a single opponent with a follow-up attack.",Immunity to cold,3 attacks or Cold breath 80ft cone,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Young Black",Predator,4,,d2,30,90,STR,STR,"Black dragons prefer to ambush their targets, using their surroundings as cover. When fighting in heavily forested swamps and marshes, they try to stay in the water or on the ground; trees and leafy canopies limit their aerial maneuverability.
When outmatched, a black dragon attempts to fly out of sight, so as not to leave tracks, and hide in a deep pond or bog.
Black dragons are more cruel than white dragons, but are still motivated mostly by the urge to live, breed and collect valuable items.",Immunity to acid,3 attacks or Acid breath 90ft line,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Young Blue",Predator,6,,1,30,90,STR,STR,"Blue dragons love to soar in the hot desert air, usually flying in the daytime when temperatures are highest.
Some nearly match the color of the desert sky and use this coloration to their advantage. Their vibrant color makes blue dragons easy to spot in barren desert surroundings. However, they often burrow into the sand so only part of their heads are exposed, waiting until opponents come within 100 feet to spring out and attack.
They particularly enjoy tricking intelligent prey into entering their lairs or passing by their hiding places to be ambushed and killed; usually one member of a party attacked by a blue dragon will be left alive for a while, and the dragon will play with that person as a cat plays with a mouse.",Immunity to lightning,3 attacks or Lightning breath 100ft line,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Young Gold",Predator,8,,1,30,90,STR,STR,"Gold dragons usually parley before fighting.
Unlike many other dragons, gold dragons are not cruel and do not seek to kill for pleasure. Many tales are told of gold dragons offering assistance to adventurers.
They are, however, every bit as avaricious as any dragon; adventurers in need of gold need not bother asking for a loan.",Immunity to poison and fire,3 attacks or Poison breath 90ft line,"Spells: Cloudkill, Sleep, Slow, Take human form","basic-fantasy, dragon"
"Dragon, Young Green",Predator,5,,1,30,90,STR,STR,"Green dragons initiate fights with little or no provocation, picking on creatures of any size. If the target is intriguing or seems formidable, the dragon stalks the creature to determine the best time to strike and the most appropriate tactics to use.
If the target appears weak, the dragon makes its presence known quickly – it enjoys evoking terror.
Green dragons especially like to question adventurers to learn more about their society and abilities, what is going on in the countryside, and if there is treasure nearby. Adventurers may be allowed to live so long as they remain interesting… but woe to them when the dragon becomes bored.",Immunity to poison,3 attacks or Poison breath 70ft cloud,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Young Red",Predator,7,,1,30,90,STR,STR,"Because red dragons are so confident, they seldom pause to appraise an adversary. On spotting a target, they make a snap decision whether to attack, using one of many strategies worked out ahead of time.
A red dragon lands to attack small, weak creatures with its claws and bite rather than obliterating them with its breath weapon, so as not to destroy any treasure they might be carrying.
Red dragons are cruel monsters, actively seeking to hunt, torment, kill and consume intelligent creatures.",Immunity to fire,3 attacks or Fire breath 70ft cone,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Young Sea",Predator,5,,1,10,60,STR,STR,"These dragons have much the same physical structure as other dragons, but their feet are webbed and their tails are short, flat and broad; these adaptations help the sea dragon swim efficiently, but severely limit their ability to walk on dry land.
Young sea dragons are a light bluish-gray in color (similar to dolphins).
They are motivated completely by a drive to live, to reproduce, and (of course) to accumulate treasure; they kill to live, not for pleasure.",Swimming and Flying  60ft.,3 attacks or Steam breath 70ft cloud,,"basic-fantasy, dragon"
"Dragon, Young White",Predator,3,,1,30,90,STR,STR,"White Dragons prefer to live in cold regions, whether in the highest mountains or in the cold northern lands. They are the least intelligent of dragons, though this does not mean that they are stupid by any stretch of the imagination.
They are motivated completely by a drive to live, to reproduce, and (of course) to accumulate treasure; they kill to live, not for pleasure.
White dragons prefer sudden assaults, swooping down from aloft or bursting from beneath water, snow, or ice. Typically, a white dragon begins with its icy breath weapon, then tries to eliminate a single opponent with a follow-up attack.",Immunity to cold,3 attacks or Cold breath 60ft cone,Flying 90ft,"basic-fantasy, dragon"
Driver Ant,Soldier,4,,2d4,60,60,STR,DEX,"Driver ants are giant black ants about 6ft. long.
They are omnivorous.
When hungry, they will devour anything edible in their path.
Once engaged in combat, they will fight to the death, even trying to cross flames to reach their opponents.",,,,"basic-set, beast"
Dryad,Shaper,2,,d6,30,,WIS,WIS,"Dryads are nature spirits; each is mystically bound to a single enormous tree and must never stray more than 300 yards from it. If either the dryad or their tree die, so does the other.
A dryad's features are much like an elf's though their flesh is like bark or fine wood and their hair is like a canopy of leaves that changes colour with the seasons.
Shy, intelligent, and resolute, dryads are as elusive as they are alluring -- they avoid physical combat and are rarely seen unless they wish to be.  Any attack on their tree, however, provokes the dryad into a frenzied defence.",Spell: Charm person,,,"basic-fantasy, fey"
Dwarf,Soldier,1,,d6,30,,STR,STR,"Dwarves hate goblins, and will usually attack them on sight.",,,,"basic-set, humanoid"
"Eagle, Giant",Predator,4,,2d6,10,90,DEX,DEX,"A typical giant eagle stands about 10 feet tall, has a wingspan of up to 20 feet, and resembles its smaller cousins in nearly every way except size. It weighs about 500 pounds.
Many giant eagles are intelligent creatures and speak Common.
A giant eagle typically attacks from a great height, diving earthward at tremendous speed. When it cannot dive, it uses its powerful talons and slashing beak to strike at its target’s head and eyes.
A solitary giant eagle is typically hunting or patrolling in the vicinity of its nest and generally ignores creatures that do not appear threatening. A mated pair attacks in concert, making repeated diving attacks to drive away intruders, and fights to the death to defend their nest or hatchlings.",Flying 90ft.,,,"basic-fantasy, beast"
Efreeti,Shaper,10,,1,30,90,STR,STR,"The efreet (singular efreeti) are humanoid creatures from the Elemental Plane of Fire. An efreeti in its natural form stands about 12 feet tall and weighs about 2,000 pounds.
Efreet are malicious by nature. They love to mislead, befuddle, and confuse their foes. They do this for enjoyment as much as for tactical reasons.","Flying 90ft.
Immunity to non-magical weapons","Spells: Invisibility, Gaseous Form, Create Illusions, Phantasmal Force, Create Flame, Wall of Fire",Assume column of fire form at will (become fire elemental),"basic-fantasy, elemental"
"Elemental, Air",Shaper,16,,0,0,120,STR,STR,"Air elementals resemble “dust devils,” that is, small whirlwinds, but they are much more powerful.",Flying 120ft.,"Immune to non-magical weapons
Vulnerable to earth based attacks",Knock all nearby opponents to the ground,"basic-fantasy, elemental"
"Elemental, Earth",Shaper,16,,0,20,,STR,STR,"Earth elementals resemble crude, headless humanoid statues, with clublike hands and feet.
They cannot cross a body of water wider than their own height.","Immune to non-magical weapons
Vulnerable to fire based attacks",,,"basic-fantasy, elemental"
"Elemental, Fire",Shaper,16,,0,30,30,STR,STR,"Fire elementals are simply flames, which may appear generally humanoid for brief moments when they attack.
They cannot cross a body of water wider than their own diameter.",Flying 30ft.,"Immune to non-magical weapons
Vulnerable to water based attacks",A fire elemental is constantly burning; such a creature may easily start fires if it moves into an area containing items which burn easily.,"basic-fantasy, elemental"
"Elemental, Water",Shaper,16,,0,20,60,STR,STR,"Water elementals resemble roiling waves of water, which seem to fall upon any creature attacked, only to reform the next round.
A water elemental cannot move more than 60' from a body of water.",Swimming 60ft.,"Immune to non-magical weapons
Vulnerable to air and wind based attacks",,"basic-fantasy, elemental"
Elf,Sniper,1,1,d4,30,,DEX,DEX,,One 1st level spell (chosen at random).,,,"basic-set, humanoid"
Elk,Soldier,2,,3d10,90,,DEX,DEX,"Wild herd animal, often skittish and likely to flee if provoked, but males are more aggressive in the presence of females.",,,,"basic-fantasy, beast"
"Ferret, Giant",Predator,1,1,d8,60,,DEX,DEX,"Giant ferrets look like 3' long weasels. They hunt giant rats underground, and are sometimes trained for this purpose.
Unfortunately, their tempers are highly unpredictable, and they have been known to attack their trainers and other humans.",,,,"basic-fantasy, beast"
"Fly, Giant Carnivorous",Predator,2,,d6,30,60,DEX,DEX,"Giant flies look much like ordinary houseflies, but are about 3ft. Long.  Some are banded yellow and black, and are thus mistaken for giant bees.  Giant flies are predators, after killing prey, they will sometimes lay eggs in the remains.",Flying 60ft.,,,"basic-fantasy, beast"
"Fly, Robber",Predator,2,,d6,30,60,DEX,DEX,"Robber flies are 3ft long giant flies colored with black and yellow stripes. At a distance they look like killer bees.
Robber flies are patient hunters. They often hide in shadows and wait for prey.",Advantage to stealth checks,Leap 30ft,,"basic-set, beast"
"Frog, Giant Venomous",Sniper,2,,d6,30,60,DEX,DEX,"Giant frogs are enlarged versions of the common frog; most resemble bullfrogs in appearance, but an adult giant frog is 3ft. long and weighs about 250 pounds.
They are predators, but will normally only attack creatures smaller than themselves. Giant toads are statistically just like giant frogs; however, they are often found in “drier” areas as they do not have to maintain a wet skin surface.",Swim 60ft.,"Sticky tongue attack at range, grapple",CON save or double damage,"basic-fantasy, beast"
Gargoyle,Predator,4,,d6,30,60,DEX,DEX,"Gargoyles are demonic-looking winged humanoid monsters with gray stone-like skin. They are often mistaken for winged stone statues, for they can remain still indefinitely without moving.",Flying move 60ft,"They can only be hit with magic or magical weapons
Gargoyles are not affected by sleep or charm spells.","2 Claws, 1 Bite","basic-fantasy, elemental"
Gelatinous Cube,Shaper,4,,1,20,,CON,CON,"The nearly transparent gelatinous cube travels slowly along dungeon corridors and cave floors, absorbing carrion, creatures, and trash. Inorganic material remains trapped and visible inside the cube’s body.
A typical gelatinous cube is ten feet on a side and weighs about 15,000 pounds; however, smaller specimens have been reported.
A gelatinous cube attacks by slamming its body into its prey. It is capable of lashing out with a pseudopod, but usually engulfs foes.",Advantage to stealth checks,"On a hit:
CON save or become paralysed for 2d4 turns","A gelatinous cube may be harmed by fire and weapons, but not by cold or lightning","basic-fantasy, ooze"
Ghoul,Predator,2,,d6,30,,STR,DEX,"Ghouls are undead monsters which eat the flesh of dead humanoids to survive. They are vile, disgusting carrioneaters, but are more than willing to kill for food. Those slain by ghouls will generally be stored until they begin to rot before the ghouls will actually eat them.","On a hit: paralyze any creature of ogre-size or smaller (except elves) unless CON save.
Once an opponent is paralyzed, the ghoul will turn and attack another opponent, until either the ghoul or all the opponents are paralyzed or dead.
Lasts d8 turns.
Removed by a cure light wounds spell.",,,"basic-fantasy, undead"
Gnoll (Female),Soldier,1,,d6,30,,STR,STR,"Gnolls are hyena-headed, evil humanoids that wander in loose tribes. Most gnolls have dirty yellow or reddishbrown fur. An adult male gnoll is about 7½ feet tall and weighs 300 pounds.
Gnolls are cruel, nocturnal carnivores, preferring intelligent creatures for food because they scream more.
They show little discipline when fighting unless they have a strong leader.",,,,"basic-fantasy, humanoid"
Gnoll (Male),Soldier,2,,d6,30,,STR,STR,"Gnolls are hyena-headed, evil humanoids that wander in loose tribes. Most gnolls have dirty yellow or reddishbrown fur. An adult male gnoll is about 7½ feet tall and weighs 300 pounds.
Gnolls are cruel, nocturnal carnivores, preferring intelligent creatures for food because they scream more.
They show little discipline when fighting unless they have a strong leader.",,,,"basic-fantasy, humanoid"
Gnoll Leader,Brute,3,,1,30,,STR,STR,"Gnolls are hyena-headed, evil humanoids that wander in loose tribes. Most gnolls have dirty yellow or reddishbrown fur. An adult male gnoll is about 7½ feet tall and weighs 300 pounds.
Gnolls are cruel, nocturnal carnivores, preferring intelligent creatures for food because they scream more.
They show little discipline when fighting unless they have a strong leader.",,,,"basic-fantasy, humanoid"
Gnome,Soldier,1,,d8,30,,STR,DEX,"Gnomes stand 3 to 3-1/2 feet tall and weigh 40 to 45 pounds. Their skin color ranges from dark tan to woody brown, their hair is fair, and their eyes can be any shade of blue. Usually males wear short, carefully trimmed beards.
Gnomes generally wear leather or earth tones, though they decorate their clothes with intricate stitching or fine jewelry. Gnomes reach adulthood at about age 40, and they live about 350 years.
Gnomes speak their own language, Gnomish, and many know the language of the dwarves. Most gnomes who travel outside gnome lands (as traders or tinkers) know Common, while warriors in gnome settlements usually learn Goblin. Gnomes encountered in the wilderness are likely to be unfriendly, but not hostile. They tolerate dwarves but dislike most other humanoid races. When forced to interact with other races, a gnome will generally be recalcitrant, unless offered a significant amount of treasure.",,,,"basic-fantasy, humanoid"
Gobber Ooze,Predator,1,,d3,30,,CON,CON,"Gobber oozes are an occasional side-effect of magical experimentation. When left laying out or improperly discarded, the chemicals and other substances used in the creation of magical items sometimes coalesce into a mindless 5‘ puddle of gray-green spotted ooze.
Attacks with a bludgeoning pseudopod.",Acid heals the ooze d6 hp,Can fit into small cracks and under closed doors.,,"stonehell, ooze"
Goblin,Sniper,1,-1,2d4,30,,DEX,DEX,"Goblins are small, wicked humanoids that favor ambushes, overwhelming odds, dirty tricks, and any other edge they can devise. An adult goblin stands 3 to 3-1/2 feet tall and weigh 40 to 45 pounds.
Its eyes are usually bright and crafty-looking, varying in color from red to yellow. A goblin’s skin color ranges from yellow through any shade of orange to a deep red; usually all members of a single tribe are about the same colour.
Goblins wear clothing of dark leather, tending toward drab, soiled-looking colors.",,,,"basic-fantasy, goblinoid, humanoid"
Goblin Chieftain,Sniper,3,,1,30,,DEX,DEX,"Goblins are small, wicked humanoids that favor ambushes, overwhelming odds, dirty tricks, and any other edge they can devise. An adult goblin stands 3 to 3-1/2 feet tall and weigh 40 to 45 pounds.
Its eyes are usually bright and crafty-looking, varying in color from red to yellow. A goblin’s skin color ranges from yellow through any shade of orange to a deep red; usually all members of a single tribe are about the same colour.
Goblins wear clothing of dark leather, tending toward drab, soiled-looking colors.",,,,"basic-fantasy, goblinoid, humanoid"
Green Slime,Predator,2,,1,5,5,CON,CON,"Green slime devours flesh and organic materials on contact and is even capable of dissolving metal given enough time.
Bright green, wet, and sticky, it clings to walls, floors, and ceilings in patches, reproducing as it consumes organic matter.
It drops from walls and ceilings when it detects movement (and possible food) below.
Green slime cannot grow in sunlight; even the indirect sunlight of a dense forest will stunt it and prevent it from spreading, and direct sunlight will kill green slime outright within a turn.",This creature can be harmed by fire or cold but cannot be hurt by any other attacks.,"Once in contact with flesh, it will stick and turn the flesh into green slime. It cannot be scraped off, but must be burnt off (or treated with a cure disease spell).
Burning does half damage to the green slime and half damage to the victim.
It dissolves wood and metal (in 6 rounds), but cannot dissolve stone.
The victim will turn completely into green slime in d4 rounds after the first 6-round (one minute) period.",,"basic-fantasy, ooze"
Grey Ooze,Shaper,3,,1,5,5,CON,CON,"Gray oozes are amorphous creatures that live only to eat.
They inhabit underground areas, scouring caverns, ruins, and dungeons in search of organic matter, living or dead.
A gray ooze can grow to a diameter of up to 10 feet and a thickness of about 6 inches. A typical specimen weighs about 700 pounds.","Acid will dissolve and destroy armour in one turn. After the first hit, the ooze will stick to its victim, doing damage each round.","Gray ooze cannot be harmed by cold or fire, but can be harmed by weapons and lightning",,"basic-fantasy, ooze"
Halfling,Sniper,1,-1,3d6,30,,DEX,DEX,,,,,humanoid
Harpy,Predator,3,,d6,30,60,STR,DEX,"A harpy looks like a giant vulture bearing the torso and face of a human.
They are able to attack with their claws as well as with normal weapons, but their most insidious ability is their song.","Flying move 60ft
2 Claw, 1 Bite","Any creature hearing the harpy's song must WIS save or be charmed.
Charmed indivuals will move toward the harpies, resisting any attempt to stop them, but not otherwise attacking.
If a character saves against the songs of a group of harpies, the character will not be affected by any of their songs during the encounter.",Harpies are resistant to magic and have Adv. on all their saves.,"basic-fantasy, monstrosity"
Hobgoblin,Soldier,1,1,d6,30,,STR,DEX,"Hobgoblins are larger cousins of goblins, being about the same size as humans. Their hair colour ranges from dark reddish-brown to dark gray. They have dark orange or red-orange skin. Large males have blue or red noses. Hobgoblins' eyes are yellowish or dark brown, while their teeth are yellow. Their garments tend to be brightly coloured, often blood red with black-tinted leather.
Their weaponry is kept polished and in good repair. They wear toughened hides and carry wooden shields for armor.
Hobgoblins are cruel and calculating warriors, always looking to exploit those weaker than themselves. They have a strong grasp of strategy and tactics and are capable of carrying out sophisticated battle plans. Under the leadership of a skilled strategist or tactician, their discipline can prove a deciding factor.
Hobgoblins hate elves and attack them first in preference over other opponents.",,,,"basic-fantasy, goblinoid, humanoid"
Hobgoblin Chief,Brute,5,,1,30,,STR,STR,"Hobgoblins are larger cousins of goblins, being about the same size as humans. Their hair colour ranges from dark reddish-brown to dark gray. They have dark orange or red-orange skin. Large males have blue or red noses. Hobgoblins' eyes are yellowish or dark brown, while their teeth are yellow. Their garments tend to be brightly coloured, often blood red with black-tinted leather.
Their weaponry is kept polished and in good repair. They wear toughened hides and carry wooden shields for armor.
Hobgoblins are cruel and calculating warriors, always looking to exploit those weaker than themselves. They have a strong grasp of strategy and tactics and are capable of carrying out sophisticated battle plans. Under the leadership of a skilled strategist or tactician, their discipline can prove a deciding factor.
Hobgoblins hate elves and attack them first in preference over other opponents.",,,,"basic-fantasy, goblinoid, humanoid"
Hobgoblin Elite,Soldier,2,,d4,30,,STR,STR,"Hobgoblins are larger cousins of goblins, being about the same size as humans. Their hair colour ranges from dark reddish-brown to dark gray. They have dark orange or red-orange skin. Large males have blue or red noses. Hobgoblins' eyes are yellowish or dark brown, while their teeth are yellow. Their garments tend to be brightly coloured, often blood red with black-tinted leather.
Their weaponry is kept polished and in good repair. They wear toughened hides and carry wooden shields for armor.
Hobgoblins are cruel and calculating warriors, always looking to exploit those weaker than themselves. They have a strong grasp of strategy and tactics and are capable of carrying out sophisticated battle plans. Under the leadership of a skilled strategist or tactician, their discipline can prove a deciding factor.
Hobgoblins hate elves and attack them first in preference over other opponents.",,,,"basic-fantasy, goblinoid, humanoid"
"Horse, Draft",Soldier,3,,0,60,,STR,STR,"Draft Horses include large breeds of working horses suchas Clydesdales.  These animals are usually ready for heavywork by age three.
A a draft horse can carry up to 70 LOAD.",Attack 2 hooves,,,"basic-fantasy, beast"
"Horse, Riding",Soldier,2,,10d10,90,,STR,STR,"Riding Horses include smaller breeds of working horsessuch as quarter horses and Arabians as well as wild horses.
These animals are usually ready for useful work by age two. Riding horses cannot fight while a rider is mounted.
A riding horse can carry up to 50 LOAD.",Attack 2 hooves,,,"basic-fantasy, beast"
"Horse, War",Soldier,3,,0,60,,STR,STR,"War  Horses  are  trained  and  bred  for  strength  and aggression. They usually are not ready for warfare beforeage three.
A warhorse can carry up to 70 LOAD.",Attack 2 hooves,,,"basic-fantasy, beast"
Inmate,Brute,2,,d10,30,,STR,STR,"Dressed in ragged clothes and equipped with cast-off weapons and armor, the inmates are the insane descendents of the Asylum‘s original patients. Their mental disorders range from the catatonic to the bloodthirsty, and they are always unpredictable when encountered. Inmates delight in adorning their homes with disturbing graffiti, wicked traps, and assortments of meaningless objects. They are loosely governed by a lunatic prince who rules until the whims of his subjects‘ madness depose him.",,,,"stonehell, humanoid"
Insect Swarm,Soldier,0.5,,1,30,60,DEX,DEX,"An insect swarm is not a single creature; rather, it is a large group of ordinary flying or crawling insects moving as a unit.
In general, a swarm fills a volume equal to three 10ft. cubes, though it is possible for a swarm to become more compact in order to move through a small doorway or narrow corridor.
If the swarm consists of crawling insects, it covers three 10ft. squares and the flying movement above is ignored.",,,,"basic-fantasy, beast"
Killer Bee,Soldier,0.5,,d6,30,60,DEX,CON,"Killer Bees are 1ft. long giant bees with a very vicious temper. Killer bees almost always attack on sight, and will automatically attack anyone within 30' of their underground hive.",Flying move 60ft,"When a killer bee successfully stings (attacks), it dies, but the creature stung must CON save or die.
The stinger will continue to work its way into the victim, doing an automatic 1 point of damage per round, unless 1 round is spent pulling it out.",,"basic-set, beast"
Kobold,Sniper,0.5,,4d4,30,,DEX,DEX,"Kobolds are small, dog-faced reptilian humanoids. A kobold is 2 to 2-1/2 feet tall and weighs 35 to 45 pounds.
They prefer ranged combat, closing only when they can see that their foes have been weakened. Whenever they can, kobolds set up ambushes near trapped areas. Theyaim to drive enemies into the traps, where other kobolds wait to pour flaming oil over them, shoot them, or drop poisonous vermin onto them.
Kobolds typically wear leather armour in battle.",Infravision 90ft,,,"basic-fantasy, humanoid"
Kobold Chief,Brute,2,,1,30,,STR,STR,"Kobolds are small, dog-faced reptilian humanoids. A kobold is 2 to 2-1/2 feet tall and weighs 35 to 45 pounds.
They prefer ranged combat, closing only when they can see that their foes have been weakened. Whenever they can, kobolds set up ambushes near trapped areas. Theyaim to drive enemies into the traps, where other kobolds wait to pour flaming oil over them, shoot them, or drop poisonous vermin onto them.
Kobolds typically wear leather armour in battle.",Infravision 90ft,,,"basic-fantasy, humanoid"
Kobold Guard,Sniper,1,,d6,30,,DEX,DEX,"Kobolds are small, dog-faced reptilian humanoids. A kobold is 2 to 2-1/2 feet tall and weighs 35 to 45 pounds.
They prefer ranged combat, closing only when they can see that their foes have been weakened. Whenever they can, kobolds set up ambushes near trapped areas. Theyaim to drive enemies into the traps, where other kobolds wait to pour flaming oil over them, shoot them, or drop poisonous vermin onto them.
Kobolds typically wear leather armour in battle.",Infravision 90ft,,,"basic-fantasy, humanoid"
"Living Statue, Crystal",Brute,3,,d6,30,,STR,CON,"Living statues are magically animated. They are true automatons, unlike golems, which are animated by elemental spirits.
They may not be commanded in any meaningful fashion. They make very effective guards for tombs, treasure rooms, and similar places.
Living statues can be crafted to resemble any sort of living creature, but most commonly are made to look like humans or demi-humans.",Living statues are not affected by sleep spells.,,,"basic-fantasy, construct"
"Lizard, Giant Draco",Predator,4,2,d4,30,60,DEX,DEX,"Giant draco lizards are able to extend their ribs and connected skin to form a sort of wing, allowing them to fly for short distances (no more than three rounds, and ascending is impossible).
An average giant draco lizard is 8' long, including its nearly 3' long tail. They are fierce predators.",Flying move 60ft,,,"basic-fantasy, beast"
"Lizard, Giant Gecko",Predator,3,1,d6,30,30,DEX,DEX,"Giant gecko lizards range from 4 to 6ft. in length, and are generally green in color, though grey or white versions can be found underground.
They can climb walls and even walk across ceilings at full movement rate due to their specialized toe pads. They are carnivores, typically attacking weaker prey from above.",Climbing 30ft,,,"basic-fantasy, beast"
Lizard Person (Lizardman),Brute,2,1,2d4,30,60,STR,STR,"A lizard person is usually 6 to 7 feet tall with green, grey, or brown scales. Its tail is used for balance and is 3 to 4 feet long.
Adults can weigh from 200 to 250 pounds. They wear leather armor and carry shields in battle.
Lizard people are excellent swimmers and can hold their breath for an extended period of time (up to a full turn). They cannot swim while wearing armour; however, they often hide in the water even while armoured, standing on the bottom with just nose and eyes exposed (similar to a crocodile).",Swimming 60ft.,,,"basic-fantasy, humanoid"
"Locust, Cave",Shaper,2,,2d10,30,60,DEX,DEX,"Giant cave locusts are pale, cricket-like creatures that live underground. An average giant cave locust is 2 to 4 feet long.
They are eyeless, depending on their soundsensitive antennae, vibration-sensitive feet and a variety of touch-sensitive ""hairs"" on their legs to sense the environment around them.
These creatures eat subterranean fungus (including shriekers) as well as carrion; they are not predators, but if disturbed they will attack, shrieking loudly, biting, jumping wildly around, or spitting nasty goo.","Immune to poison
Immune to yellow mold","Jumping 60ft
Flying 60ft",When frightened or attacked cave locusts make a loud shrieking noise to warn their fellows. This shriek has a 20% chance per round of attracting wandering monsters to investigate.,"basic-fantasy, monstrosity"
"Lycanthrope, Were Rat",Predator,3,,d8,30,,STR,CON,"A wererat may assume either the form of a human or a giant rat. In human form tends to be a thin, wiry individual of shorter than average height, with eyes constantly darting around. A wererat's nose and mouth may twitch if they are excited.
Unlike most lycanthropes, wererats prefer to inhabit civilized areas, particularly cities. They frequently lair in sewers or other underground areas, coming out by night to steal from or kill city folk.",Can summon 1 or 2 wererats who will arrive in 1-4 (Id4) rounds.,"If a lycanthrope is hit by wolfsbane, it must save vs. Poison or run away in fear.",,"basic-fantasy, monstrosity"
Medium,Shaper,1,,d4,30,,STR,DEX,Mediums are NPC 1st level magic-users.,One 1st level spell (chosen at random).,,,"basic-set, humanoid"
Medusa,Predator,4,,d3,30,,DEX,DEX,"A medusa appears to be a human with vipers growing from their head instead of hair.
A medusa often wears garments that enhance its body while hiding its face behind a hood or veil. A typical medusa is 5 to 6 feet tall and about the same weight as a human.
Medusae are shy and reclusive, owing no doubt to the fact that, once the lair of one is found, any humans living nearby will not rest until she is slain. They are hateful creatures, however, and will seek to destroy as many humans as they can without being discovered.","The sight of a medusa will turn a creature to stone unless the victim makes a CON save

A medusa can be looked at without harm by looking at its reflection in a mirror. If a medusa sees its own reflection, it must CON save or it will petrify itself!","Bite:
CON save vs. poision or die",,"basic-fantasy, monstrosity"
Minotaur,Brute,6,,d6,40,,STR,STR,"Minotaurs are huge bull-headed humanoid monsters. A minotaur stands more than 7 feet tall and weighs about 700 pounds.
Most minotaurs are very aggressive, and fly into a murderous rage if provoked or hungry.
Although minotaurs are not especially intelligent, they possess innate cunning and logical ability. They never become lost, and can track their enemies.
Minotaurs often wear toughened hides for armour.",Weapon attack: +2 damage,Gore and bite: 2 attacks,,"basic-fantasy, monstrosity"
Moose,Soldier,2,,3d10,90,,DEX,DEX,"Wild herd animal, often skittish and likely to flee if provoked, but males are more aggressive in the presence of females.",,,,"basic-fantasy, beast"
Mossy Slime,Predator,2,,1,10,,CON,CON,"Mossy slime resembles a carpet of wet moss with waving tendrils sprouting from its surface.
These tendrils siphon off nutrients from any flesh they contact.",Resistant to physical damage (50%),,,"stonehell, ooze"
Mountain Lion,Predator,3,2,d4,50,,STR,DEX,These great cats are about 7 feet long (from nose to tailtip) and weigh about 140 pounds. They see well in darkness and may be found hunting day or night.,Leap upon opponent from tree +2 to hit,On top of person +2 to hit,,"basic-fantasy, beast"
Mule,Soldier,2,,0,30,,STR,STR,"Mules are sterile crossbreeds of donkeys and horses. Theycan be taken into dungeons or caverns.  A mule is similarto a riding horse, but slightly stronger and more agile.
A mule can carry up to 60 LOAD.",,,,"basic-fantasy, beast"
Neanderthal (Caveman),Brute,2,,d10,30,,STR,STR,"Neanderthals (or cave people) are a species closely related to humans; they are shorter and stockier, and much more heavily muscled.
They do not all actually live in caves. Whether they are actually less intelligent than ""normal"" humans or not is a matter of debate, but it is true that they do not have the facility for language as other human, demi-human and humanoid races.",,,,"basic-fantasy, humanoid"
Noble,Leader,3,,2d6,30,,STR,STR,"""Noble"" is a general term for the lord of a castle and any of their relatives. In the D&D BASIC rules, a noble will always be a 3rd level fighter. However, the DM may choose to make a noble any class and level.
Always accompanied by a squire (a 2nd level fighter). A noble might also be accompanied by as many as 10 retainers or hirelings (usually 1st level fighters). ",,,,"basic-set, humanoid"
Ochre Jelly,Predator,5,,1,10,10,CON,CON,"Ochre jellies are ochre-coloured amorphous monsters, similar to the gray ooze in appearance. An ochre jelly can grow to a diameter of up to 10 feet and a thickness of about 6 inches. A typical specimen weighs about 700 pounds.","Can only be harmed by fire or cold.
Attacks with weapons or lightning merely make d4+ 1 smaller (2 hit dice) ochre jellies.","An ochre jelly does damage per turn to exposed flesh.
It can destroy wood, leather, and cloth in 1 round, but cannot eat through metal or stone.",It can seep through small cracks,"basic-fantasy, ooze"
